Activity Code,Activity Description,Expense Code ,Expense Code Description,Expense Code Category ,Account Number ,Account Description 
6196,Non-Routine - Miscellaneous Software,,,,,
6198,RSA Support,,,,,
6203,Fiber Supplies - Jumpers,,,,,
6206,Fiber Supplies - Fiber Tools,,,,,
6216,Communication Tools,,,,,
6217,Non-Routine - Fiber - Fiber Inventory/Audit,,,,,
6222,Network Integrated Transmission System (NITS),,,,,
6223,Non-Firm Transmission,,,,,
6224,Rawhide Solar Flats,,,,,
6225,Fiber Optic System Inventory - Loveland,,,,,
6228,Fiber Lease Market Analysis,,,,,
6229,Phones - New/Replacement,,,,,
6232,WECC WISP Network Connection,,,,,
6235,Northwest Substation Water Line Repairs (McIntosh),,,,,
6236,Pattern Recognition Technology (PRT) Forecasting,,,,,
6238,Fiber Optic System Inventory - Estes Park,,,,,
6240,Fiber Optic System Inventory - Fort Collins,,,,,
6242,Fiber Optic System Inventory - Platte River,,,,,
6246,WECC Operations Network Connection,,,,,
6248,OATI PSE Approval Service,,,,,
6259,OATI webSteering Committee,,,,,
6260,Spinning Reserves,,,,,
7001,Carpentry/Painting,,,,,
7002,Door Maintenance,,,,,
7003,Electrical Maintenance,,,,,
7004,Elevator Maintenance,,,,,
7005,Ergonomic Furniture,,,,,
7006,Fire Systems,,,,,
7007,HVAC Maintenance,,,,,
7008,Janitorial,,,,,
7009,Appliances,,,,,
7010,Laundry Service,,,,,
7011,Office Furniture,,,,,
7012,Pest Control,,,,,
7013,Plumbing,,,,,
7014,Overhead Door Maintenance,,,,,
7015,Roofing Maintenance,,,,,
7016,Structured Cabling,,,,,
7017,Trash Service,,,,,
7018,Work Clothing,,,,,
7019,Siding/Building Wall Maintenance,,,,,
7021,Truck Scale Maintenance,,,,,
7022,Exercise Equipment,,,,,
7028,Irrigation,,,,,
7029,Landscaping Maintenance,,,,,
7030,Pond Maintenance,,,,,
7031,Surface Maintenance (Yard Rock and Asphalt),,,,,
7032,Tree Care,,,,,
7033,Weed Control,,,,,
7034,Snow Removal,,,,,
7035,Fence Maintenance,,,,,
7036,Well and Windmill Maintenance,,,,,
7037,Facilities Stock Supplies,,,,,
7038,Mowing,,,,,
7041,Toll Fees,,,,,
7042,Heavy Equipment Inspections,,,,,
7043,Fleet Tires,,,,,
7051,Security Systems Equipment - Access Control,,,,,
7053,Security Guard Services,,,,,
7054,Security Systems Equipment-Surveillance,,,,,
7061,Utilities - Cable,,,,,
7062,Utilities - Electric,,,,,
7063,Utilities - Gas,,,,,
7064,Utilities - Water,,,,,
7065,Facilities Master Plan,,,,,
7068,Non-Routine - Energy Spirators on Main Plant Elevat0.00,,,,,
7070,Non-Routine - Floor Replacement - Admin Kitchen Flo0.00,,,,,
7071,Non-Routine - Compensator Chain on Main Plant Eleva0.00,,,,,
7075,Non-Routine - HVAC Management,,,,,
7077,Elevator Maintenance - Rack-n-Pinion,,,,,
8003,CIP Security,,,,,
8005,Sustainability,,,,,
8007,Renewable Expenses,,,,,
8009,Resource/Records Expenses,,,,,
8013,Fort Collins,,,,,
8014,Loveland,,,,,
8015,Estes Park,,,,,
8016,Longmont,,,,,
8017,Renewable Expenses - Tariff 1,,,,,
8101,Wellness Fair,,,,,
8102,Workout Room Equipment Replacements,,,,,
8103,Wellness Program - New Initiatives,,,,,
8108,Snowfly Program Management,,,,,
8109,Incentive - Wellness,,,,,
8110,Incentive - Safety,,,,,
8111,Incentive - Recognition,,,,,
8112,Employee Appreciation,,,,,
8201,Smart Phones,,,,,
8202,PC/Laptop Replacements,,,,,
8203,Monitors,,,,,
8204,Projectors,,,,,
8205,Misc. Parts and Repairs,,,,,
8206,Desktop/Server Software,,,,,
8207,UPS Battery Replacements,,,,,
8212,Avantis Maintenance,,,,,
8213,Worktech Time Maintenance,,,,,
8214,E-Logger Maintenance,,,,,
8215,MV-90 (Itron),,,,,
8216,F9 Maintenance,,,,,
8217,1099 Software,,,,,
8218,Sympro Maintenance,,,,,
8219,Raster Design Maintenance (DLT),,,,,
8220,Map 3D (DLT),,,,,
8221,AutoCAD Support & Upgrades,,,,,
8222,PLS-CAD Support & Upgrades,,,,,
8223,Electrical (DLT),,,,,
8224,Plant Design AutoCAD (DLT),,,,,
8225,HP Plotter Maintenance,,,,,
8226,SKM Software Maintenance,,,,,
8227,ESRI Arc View GIS,,,,,
8229,Aspen Oneliner,,,,,
8230,Aspen Line Database,,,,,
8232,e-Tap Maintenance,,,,,
8233,PSS Annual Fee,,,,,
8234,ARIN AS Renewal,,,,,
8236,Dell KACE,,,,,
8239,Dameware Maintenance,,,,,
8240,APC Rack & UPS Maintenance,,,,,
8243,Cisco ASA Smartnet Maintenance,,,,,
8244,Infor Smartstream Maintenance,,,,,
8245,Solarwinds NPM NCM LEM,,,,,
8248,General Project Consulting,,,,,
8249,HP Printer Repair,,,,,
8250,Internet Access,,,,,
8252,SPAM Appliance,,,,,
8253,Trend,,,,,
8254,Copier Maintenance - Xerox,,,,,
8255,Copier Maintenance - Canon,,,,,
8258,DNS Hosting Fees - NestEgg,,,,,
8263,Planning and Risk Software,,,,,
8268,Recruiting Expense - Other,,,,,
8269,Preemployment Physicals,,,,,
8270,CareerBuilder,,,,,
8271,Monster,,,,,
8272,LinkedIn,,,,,
8275,Salary Survey - EAP DIS,,,,,
8276,Salary Survey - Western Management Group,,,,,
8279,Drug Testing Administration,,,,,
8280,Investigative Services,,,,,
8281,Warehouse Club,,,,,
8282,Office Supplies,,,,,
8283,Printing,,,,,
8284,Coffee,,,,,
8285,Flowers,,,,,
8286,Lunches,,,,,
8288,Market and Emissions Outlooks,,,,,
8291,Hourly Price Forecasting and Wind-Load Sharing,,,,,
8293,Renewables Analysis,,,,,
8299,New Hire Relocation,,,,,
8300,External Recruiting Fees,,,,,
8301,Interview Expenses,,,,,
8305,SSL Certificates,,,,,
8307,Tape Library Maintenance,,,,,
8311,Custom Ear Plugs,,,,,
8313,Safety Forms,,,,,
8314,Safety Glasses (incl non-prescription),,,,,
8316,Fall Protection,,,,,
8317,Safety Boots and Clothing (incl FR),,,,,
8318,Safety Tools and Supplies,,,,,
8320,Medical Supplies/First Aid Kits,,,,,
8321,Fire Extinguishers-Replace/Parts/Maintenance,,,,,
8323,NFPA Code Books,,,,,
8325,Audiometer/Respirator Maintenance,,,,,
8326,Arc Flash Suits,,,,,
8327,Ergonomics,,,,,
8328,Gloves,,,,,
8332,Occupational Health Testing,,,,,
8334,Physical Therapy Expenses (incl travel),,,,,
8340,Continuous Monitoring for Cyber Security,,,,,
8341,CIS-CAT Cyber Security Assessment/Audit Tool,,,,,
8343,Software Packaging and Patching Solution,,,,,
8344,Microsoft 365,,,,,
8345,Security Training - RH,,,,,
8346,Security Training - HQ,,,,,
8347,Internal Audit,,,,,
8348,Environmental Services,,,,,
8349,Project Management,,,,,
8351,Engineering and technical analysis of RICE/Aeros,,,,,
8352,CHP applications,,,,,
8356,H.S.A. Contributions - Employer,,,,,
8358,Financial Risk Software,,,,,
8361,Legal Services - Mountain West Transmission,,,,,
8362,Physical Therapy,,,,,
8363,Electronic Media Sanitization and Disposal,,,,,
8365,Respirators,,,,,
8367,Recruiting Expense - Background Checks,,,,,
8368,Leadership Development Training,,,,,
8372,EPRI - Electric Power Research Institute,,,,,
8373,Non-Routine - Environmental Services,,,,,
8374,Egnyte,,,,,
8375,ServiceNow Fees,,,,,
8376,Reliability Compliance Risk Assessment,,,,,
8377,Docusign,,,,,
8378,ART - 90 Day Pilot,,,,,
8380,RH Impoundment Closure Costs-Acctg,,,,,
8387,United Way,,,,,
8388,Employee Holiday and Appreciation Event,,,,,
8399,HR Onboarding Program,,,,,
9012,Clearing Principal-Power Revenue Bonds,,,,,
9013,Clearing-Rate Stabilization Withdrawls,,,,,
9014,Clearing-Rate Stabilization Deposits,,,,,
9015,Clearing Series S1 Bonds,,,,,
9016,Unrealized Increase/Decrease Fair Value,,,,,
9017,Realized Gains/Losses Investments,,,,,
9024,Wind Turbine Interest Payments,,,,,
9025,Rate Stabilization Interest Transferred,,,,,
9026,Proceeds from Issuance of Debt - Par,,,,,
9027,Proceeds from Debt - Premium/Discount,,,,,
9028,Escrow Defeased Debt,,,,,
9029,NA,,,,,
9030,NA,,,,,
9331,Billing Demand,,,,,
9334,Non-Firm Transmission Capacity,,,,,
9335,PRPA Transmission Charge,,,,,
9336,Ancillary Services,,,,,
9351,Energy,,,,,
9354,Forced Outage Exchange,,,,,
9355,Interruptible Associated Energy,,,,,
9357,Wind Energy,,,,,
9359,Energy - Solar - Rawhide Flats,,,,,
9360,Energy - JDA,,,,,
9371,On Peak Energy,,,,,
9372,NA,,,,,
9377,On-Peak - JDA,,,,,
9378,Off-Peak - JDA,,,,,
9379,Spinning Reserves,,,,,
9401,Demand - Community Solar Programs,,,,,
9402,Energy - Community Solar Programs,,,,,
